ph,moisture,label,icon,reason
5.21,49.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
4.62,90.8,Pakis Sayur,🌿,Lembap hutan
6.37,57.6,Kacang Panjang,🥢,Tanah subur ideal
7.65,57.3,Kubis (Kol),🥬,Toleran tanah basa
5.58,33.5,Terong Lalap,🍆,Tumbuh baik di kebun
6.54,30.3,Kemangi,🌿,Suka panas
5.23,49.8,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.08,23.5,Cabai Keriting,🌶️,Drainase baik
4.66,94.0,Pakis Sayur,🌿,Lembap hutan
6.69,85.3,Kangkung Air,🌿,Butuh genangan air
6.72,34.3,Kemangi,🌿,Suka panas
4.74,16.5,Singkong,🥔,Sangat kuat kering & asam
6.79,81.6,Kangkung Air,🌿,Butuh genangan air
6.69,83.9,Kangkung Air,🌿,Butuh genangan air
6.32,52.5,Kacang Panjang,🥢,Tanah subur ideal
6.06,80.0,Selada Air,🥗,Air mengalir
6.54,26.0,Cabai Rawit,🌶️,Anti becek
6.29,15.9,Cabai Keriting,🌶️,Drainase baik
6.72,29.3,Cabai Rawit,🌶️,Anti becek
4.92,75.1,Genjer,🌿,Suka pH rendah & basah
6.61,29.7,Kemangi,🌿,Suka panas
6.37,59.0,Kacang Panjang,🥢,Tanah subur ideal
5.72,49.0,Talas,🍃,Kuat di tanah asam lembap
7.74,24.9,Bawang Daun,🌱,Tahan pH tinggi
7.06,54.4,Bayam,🥬,Perlu air cukup
6.79,47.0,Bayam,🥬,Perlu air cukup
7.0,51.1,Bayam,🥬,Perlu air cukup
6.09,60.6,Oyong,🥒,Subur air tinggi
6.3,46.2,Sawi,🥬,Panen cepat
5.19,79.0,Genjer,🌿,Suka pH rendah & basah
5.06,15.0,Singkong,🥔,Sangat kuat kering & asam
6.32,79.2,Selada Air,🥗,Air mengalir
6.44,83.9,Kangkung Air,🌿,Butuh genangan air
7.47,64.9,Kubis (Kol),🥬,Toleran tanah basa
5.1,81.8,Genjer,🌿,Suka pH rendah & basah
7.31,52.9,Kembang Kol,🥦,Anti akar gada
6.44,71.1,Selada Air,🥗,Air mengalir
6.94,48.4,Kembang Kol,🥦,Anti akar gada
4.91,11.2,Singkong,🥔,Sangat kuat kering & asam
5.18,48.1,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.95,18.8,Cabai Keriting,🌶️,Drainase baik
6.76,84.1,Kangkung Air,🌿,Butuh genangan air
5.57,36.6,Terong Lalap,🍆,Tumbuh baik di kebun
7.0,49.3,Kembang Kol,🥦,Anti akar gada
5.07,81.5,Genjer,🌿,Suka pH rendah & basah
7.34,58.4,Kubis (Kol),🥬,Toleran tanah basa
6.78,25.4,Cabai Rawit,🌶️,Anti becek
7.79,59.8,Kubis (Kol),🥬,Toleran tanah basa
7.57,56.5,Kubis (Kol),🥬,Toleran tanah basa
5.44,52.5,Talas,🍃,Kuat di tanah asam lembap
7.07,53.7,Bayam,🥬,Perlu air cukup
6.4,55.8,Kacang Panjang,🥢,Tanah subur ideal
5.21,79.7,Genjer,🌿,Suka pH rendah & basah
6.42,25.6,Cabai Rawit,🌶️,Anti becek
6.9,48.7,Kembang Kol,🥦,Anti akar gada
5.51,50.8,Talas,🍃,Kuat di tanah asam lembap
5.58,35.0,Terong Lalap,🍆,Tumbuh baik di kebun
6.05,35.1,Terong Lalap,🍆,Tumbuh baik di kebun
5.95,73.1,Selada Air,🥗,Air mengalir
6.65,54.0,Kacang Panjang,🥢,Tanah subur ideal
6.45,49.6,Sawi,🥬,Panen cepat
6.55,41.1,Sawi,🥬,Panen cepat
6.58,50.2,Bayam,🥬,Perlu air cukup
7.6,22.4,Bawang Daun,🌱,Tahan pH tinggi
6.71,45.6,Bayam,🥬,Perlu air cukup
6.8,57.7,Kacang Panjang,🥢,Tanah subur ideal
4.68,91.3,Pakis Sayur,🌿,Lembap hutan
6.23,20.4,Cabai Keriting,🌶️,Drainase baik
6.2,89.3,Kangkung Air,🌿,Butuh genangan air
7.58,22.8,Bawang Daun,🌱,Tahan pH tinggi
5.56,32.4,Terong Lalap,🍆,Tumbuh baik di kebun
7.59,29.2,Bawang Merah,🧅,Suka pH netral-basa
6.26,19.1,Cabai Keriting,🌶️,Drainase baik
5.79,34.2,Terong Lalap,🍆,Tumbuh baik di kebun
7.82,25.6,Bawang Daun,🌱,Tahan pH tinggi
6.5,16.9,Cabai Keriting,🌶️,Drainase baik
4.8,87.2,Pakis Sayur,🌿,Lembap hutan
6.53,57.2,Kacang Panjang,🥢,Tanah subur ideal
7.28,58.7,Kubis (Kol),🥬,Toleran tanah basa
6.77,33.5,Kemangi,🌿,Suka panas
6.28,21.5,Cabai Keriting,🌶️,Drainase baik
6.14,62.2,Oyong,🥒,Subur air tinggi
6.07,77.9,Selada Air,🥗,Air mengalir
6.44,82.4,Kangkung Air,🌿,Butuh genangan air
6.9,47.5,Bayam,🥬,Perlu air cukup
6.78,49.5,Bayam,🥬,Perlu air cukup
6.89,26.5,Kemangi,🌿,Suka panas
5.82,35.3,Terong Lalap,🍆,Tumbuh baik di kebun
5.04,49.6,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.63,24.6,Bawang Daun,🌱,Tahan pH tinggi
5.57,38.9,Terong Lalap,🍆,Tumbuh baik di kebun
7.75,62.6,Kubis (Kol),🥬,Toleran tanah basa
5.57,38.9,Terong Lalap,🍆,Tumbuh baik di kebun
7.52,23.4,Bawang Daun,🌱,Tahan pH tinggi
7.76,22.1,Bawang Daun,🌱,Tahan pH tinggi
7.96,20.6,Bawang Daun,🌱,Tahan pH tinggi
6.25,59.2,Oyong,🥒,Subur air tinggi
7.61,28.1,Bawang Daun,🌱,Tahan pH tinggi
4.49,88.8,Pakis Sayur,🌿,Lembap hutan
7.79,58.0,Kubis (Kol),🥬,Toleran tanah basa
4.91,41.9,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.99,59.0,Oyong,🥒,Subur air tinggi
6.38,84.4,Kangkung Air,🌿,Butuh genangan air
6.41,83.4,Kangkung Air,🌿,Butuh genangan air
5.4,54.9,Talas,🍃,Kuat di tanah asam lembap
6.79,23.3,Cabai Rawit,🌶️,Anti becek
7.26,32.6,Bawang Merah,🧅,Suka pH netral-basa
7.55,28.6,Bawang Daun,🌱,Tahan pH tinggi
5.92,36.0,Terong Lalap,🍆,Tumbuh baik di kebun
5.77,38.5,Terong Lalap,🍆,Tumbuh baik di kebun
5.56,49.1,Talas,🍃,Kuat di tanah asam lembap
6.42,60.5,Oyong,🥒,Subur air tinggi
5.2,48.9,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.46,85.1,Kangkung Air,🌿,Butuh genangan air
5.5,46.8,Talas,🍃,Kuat di tanah asam lembap
5.13,81.2,Genjer,🌿,Suka pH rendah & basah
7.71,21.0,Bawang Daun,🌱,Tahan pH tinggi
6.81,28.9,Kemangi,🌿,Suka panas
5.99,31.9,Terong Lalap,🍆,Tumbuh baik di kebun
6.62,86.5,Kangkung Air,🌿,Butuh genangan air
8.01,22.8,Bawang Daun,🌱,Tahan pH tinggi
6.81,51.1,Bayam,🥬,Perlu air cukup
5.62,32.8,Terong Lalap,🍆,Tumbuh baik di kebun
6.27,75.2,Selada Air,🥗,Air mengalir
6.5,44.9,Sawi,🥬,Panen cepat
5.72,47.6,Talas,🍃,Kuat di tanah asam lembap
6.32,57.5,Oyong,🥒,Subur air tinggi
5.38,40.9,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.04,42.8,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.55,28.1,Bawang Daun,🌱,Tahan pH tinggi
7.19,53.7,Kembang Kol,🥦,Anti akar gada
6.83,31.7,Kemangi,🌿,Suka panas
6.96,25.8,Kemangi,🌿,Suka panas
6.02,32.8,Terong Lalap,🍆,Tumbuh baik di kebun
6.22,16.0,Cabai Keriting,🌶️,Drainase baik
6.81,25.3,Kemangi,🌿,Suka panas
6.73,53.7,Bayam,🥬,Perlu air cukup
6.8,81.0,Kangkung Air,🌿,Butuh genangan air
6.24,19.4,Cabai Keriting,🌶️,Drainase baik
4.43,91.3,Pakis Sayur,🌿,Lembap hutan
6.87,32.5,Kemangi,🌿,Suka panas
6.56,82.6,Kangkung Air,🌿,Butuh genangan air
6.49,81.0,Kangkung Air,🌿,Butuh genangan air
7.04,33.9,Kemangi,🌿,Suka panas
6.44,83.9,Kangkung Air,🌿,Butuh genangan air
6.57,42.7,Sawi,🥬,Panen cepat
6.37,81.3,Kangkung Air,🌿,Butuh genangan air
7.47,63.4,Kubis (Kol),🥬,Toleran tanah basa
7.93,22.7,Bawang Daun,🌱,Tahan pH tinggi
7.04,25.2,Kemangi,🌿,Suka panas
4.86,82.2,Genjer,🌿,Suka pH rendah & basah
6.44,74.5,Selada Air,🥗,Air mengalir
6.23,21.1,Cabai Rawit,🌶️,Anti becek
6.21,63.7,Oyong,🥒,Subur air tinggi
5.28,42.6,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.96,25.1,Bawang Daun,🌱,Tahan pH tinggi
6.08,73.5,Selada Air,🥗,Air mengalir
5.97,56.4,Oyong,🥒,Subur air tinggi
7.16,54.0,Kembang Kol,🥦,Anti akar gada
7.25,59.7,Kubis (Kol),🥬,Toleran tanah basa
6.55,20.3,Cabai Rawit,🌶️,Anti becek
7.63,22.8,Bawang Daun,🌱,Tahan pH tinggi
5.03,42.1,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.16,81.2,Genjer,🌿,Suka pH rendah & basah
6.29,41.0,Sawi,🥬,Panen cepat
7.23,28.8,Bawang Merah,🧅,Suka pH netral-basa
6.53,46.2,Bayam,🥬,Perlu air cukup
6.7,46.8,Sawi,🥬,Panen cepat
6.36,78.0,Selada Air,🥗,Air mengalir
6.34,57.2,Oyong,🥒,Subur air tinggi
4.25,91.7,Pakis Sayur,🌿,Lembap hutan
5.04,12.6,Singkong,🥔,Sangat kuat kering & asam
6.17,61.5,Oyong,🥒,Subur air tinggi
7.24,48.4,Kembang Kol,🥦,Anti akar gada
4.74,95.0,Pakis Sayur,🌿,Lembap hutan
5.74,32.6,Terong Lalap,🍆,Tumbuh baik di kebun
7.28,47.9,Kembang Kol,🥦,Anti akar gada
6.84,49.5,Bayam,🥬,Perlu air cukup
5.41,47.5,Talas,🍃,Kuat di tanah asam lembap
6.73,84.1,Kangkung Air,🌿,Butuh genangan air
5.17,44.8,Ubi Cilembu,🍠,"Toleran asam, air sedang"
4.5,88.3,Pakis Sayur,🌿,Lembap hutan
4.25,85.5,Pakis Sayur,🌿,Lembap hutan
6.38,22.8,Cabai Rawit,🌶️,Anti becek
5.05,16.9,Singkong,🥔,Sangat kuat kering & asam
6.47,48.5,Sawi,🥬,Panen cepat
7.64,29.9,Bawang Daun,🌱,Tahan pH tinggi
6.61,34.8,Kemangi,🌿,Suka panas
6.8,59.9,Kacang Panjang,🥢,Tanah subur ideal
6.62,82.8,Kangkung Air,🌿,Butuh genangan air
5.09,79.8,Genjer,🌿,Suka pH rendah & basah
5.31,50.3,Talas,🍃,Kuat di tanah asam lembap
7.36,50.5,Kembang Kol,🥦,Anti akar gada
6.17,57.1,Oyong,🥒,Subur air tinggi
4.71,12.9,Singkong,🥔,Sangat kuat kering & asam
5.72,38.3,Terong Lalap,🍆,Tumbuh baik di kebun
7.4,60.8,Kubis (Kol),🥬,Toleran tanah basa
7.42,47.1,Kembang Kol,🥦,Anti akar gada
6.33,45.4,Sawi,🥬,Panen cepat
7.43,34.4,Bawang Merah,🧅,Suka pH netral-basa
6.39,73.4,Selada Air,🥗,Air mengalir
6.47,58.0,Kacang Panjang,🥢,Tanah subur ideal
5.6,53.0,Talas,🍃,Kuat di tanah asam lembap
5.76,47.2,Talas,🍃,Kuat di tanah asam lembap
4.33,94.5,Pakis Sayur,🌿,Lembap hutan
5.51,52.7,Talas,🍃,Kuat di tanah asam lembap
6.48,16.0,Cabai Keriting,🌶️,Drainase baik
6.01,30.1,Terong Lalap,🍆,Tumbuh baik di kebun
5.35,40.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.37,58.6,Kacang Panjang,🥢,Tanah subur ideal
7.3,57.6,Kubis (Kol),🥬,Toleran tanah basa
6.71,44.3,Sawi,🥬,Panen cepat
6.46,26.9,Cabai Rawit,🌶️,Anti becek
7.0,29.0,Kemangi,🌿,Suka panas
6.85,50.0,Bayam,🥬,Perlu air cukup
7.79,22.2,Bawang Daun,🌱,Tahan pH tinggi
4.21,94.8,Pakis Sayur,🌿,Lembap hutan
6.37,56.7,Oyong,🥒,Subur air tinggi
5.97,61.9,Oyong,🥒,Subur air tinggi
5.19,43.5,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.22,79.7,Selada Air,🥗,Air mengalir
5.95,21.8,Cabai Keriting,🌶️,Drainase baik
4.8,75.5,Genjer,🌿,Suka pH rendah & basah
7.28,31.4,Bawang Merah,🧅,Suka pH netral-basa
4.89,17.2,Singkong,🥔,Sangat kuat kering & asam
7.44,54.8,Kembang Kol,🥦,Anti akar gada
5.3,14.1,Singkong,🥔,Sangat kuat kering & asam
5.42,47.6,Talas,🍃,Kuat di tanah asam lembap
7.22,49.9,Kembang Kol,🥦,Anti akar gada
5.56,32.6,Terong Lalap,🍆,Tumbuh baik di kebun
6.6,54.1,Bayam,🥬,Perlu air cukup
7.74,26.1,Bawang Daun,🌱,Tahan pH tinggi
7.63,24.9,Bawang Daun,🌱,Tahan pH tinggi
6.64,89.6,Kangkung Air,🌿,Butuh genangan air
6.31,22.3,Cabai Rawit,🌶️,Anti becek
7.8,60.6,Kubis (Kol),🥬,Toleran tanah basa
6.77,43.5,Sawi,🥬,Panen cepat
4.71,77.9,Genjer,🌿,Suka pH rendah & basah
5.18,78.0,Genjer,🌿,Suka pH rendah & basah
6.07,77.6,Selada Air,🥗,Air mengalir
6.19,71.3,Selada Air,🥗,Air mengalir
6.62,80.3,Kangkung Air,🌿,Butuh genangan air
7.51,56.4,Kubis (Kol),🥬,Toleran tanah basa
5.16,40.0,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.88,34.8,Kemangi,🌿,Suka panas
5.71,54.1,Talas,🍃,Kuat di tanah asam lembap
5.57,54.2,Talas,🍃,Kuat di tanah asam lembap
6.3,56.9,Kacang Panjang,🥢,Tanah subur ideal
6.62,85.1,Kangkung Air,🌿,Butuh genangan air
6.44,83.8,Kangkung Air,🌿,Butuh genangan air
7.59,63.3,Kubis (Kol),🥬,Toleran tanah basa
4.75,92.8,Pakis Sayur,🌿,Lembap hutan
6.23,76.7,Selada Air,🥗,Air mengalir
6.65,49.1,Sawi,🥬,Panen cepat
6.22,40.2,Sawi,🥬,Panen cepat
7.08,49.1,Kembang Kol,🥦,Anti akar gada
5.13,17.3,Singkong,🥔,Sangat kuat kering & asam
5.69,48.6,Talas,🍃,Kuat di tanah asam lembap
5.16,41.0,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.45,59.3,Kubis (Kol),🥬,Toleran tanah basa
7.22,28.8,Bawang Merah,🧅,Suka pH netral-basa
6.5,48.2,Bayam,🥬,Perlu air cukup
6.33,51.4,Kacang Panjang,🥢,Tanah subur ideal
6.27,20.6,Cabai Rawit,🌶️,Anti becek
7.77,33.1,Bawang Merah,🧅,Suka pH netral-basa
5.81,35.6,Terong Lalap,🍆,Tumbuh baik di kebun
6.03,58.7,Oyong,🥒,Subur air tinggi
4.93,16.2,Singkong,🥔,Sangat kuat kering & asam
6.62,85.9,Kangkung Air,🌿,Butuh genangan air
5.6,48.6,Talas,🍃,Kuat di tanah asam lembap
6.86,54.0,Bayam,🥬,Perlu air cukup
4.95,13.7,Singkong,🥔,Sangat kuat kering & asam
5.92,15.6,Cabai Keriting,🌶️,Drainase baik
6.84,53.9,Bayam,🥬,Perlu air cukup
6.84,49.6,Bayam,🥬,Perlu air cukup
6.71,25.8,Cabai Rawit,🌶️,Anti becek
7.3,29.9,Bawang Merah,🧅,Suka pH netral-basa
7.68,32.4,Bawang Merah,🧅,Suka pH netral-basa
6.38,52.7,Kacang Panjang,🥢,Tanah subur ideal
7.57,56.4,Kubis (Kol),🥬,Toleran tanah basa
6.28,20.4,Cabai Keriting,🌶️,Drainase baik
4.89,10.9,Singkong,🥔,Sangat kuat kering & asam
7.08,49.7,Kembang Kol,🥦,Anti akar gada
5.92,21.8,Cabai Keriting,🌶️,Drainase baik
7.53,24.0,Bawang Daun,🌱,Tahan pH tinggi
6.18,57.8,Oyong,🥒,Subur air tinggi
6.63,48.9,Sawi,🥬,Panen cepat
6.69,29.7,Kemangi,🌿,Suka panas
6.38,77.1,Selada Air,🥗,Air mengalir
6.24,74.4,Selada Air,🥗,Air mengalir
7.35,31.2,Bawang Merah,🧅,Suka pH netral-basa
7.62,59.7,Kubis (Kol),🥬,Toleran tanah basa
5.4,46.4,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.49,29.5,Cabai Rawit,🌶️,Anti becek
7.29,59.1,Kubis (Kol),🥬,Toleran tanah basa
5.12,42.9,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.79,49.4,Sawi,🥬,Panen cepat
4.88,14.8,Singkong,🥔,Sangat kuat kering & asam
4.89,82.7,Genjer,🌿,Suka pH rendah & basah
7.3,26.2,Bawang Merah,🧅,Suka pH netral-basa
6.72,24.0,Cabai Rawit,🌶️,Anti becek
6.96,31.2,Kemangi,🌿,Suka panas
6.0,39.2,Terong Lalap,🍆,Tumbuh baik di kebun
6.25,62.2,Oyong,🥒,Subur air tinggi
6.93,25.1,Kemangi,🌿,Suka panas
6.8,26.1,Cabai Rawit,🌶️,Anti becek
7.52,25.7,Bawang Daun,🌱,Tahan pH tinggi
7.73,27.0,Bawang Daun,🌱,Tahan pH tinggi
6.45,55.6,Oyong,🥒,Subur air tinggi
6.36,74.2,Selada Air,🥗,Air mengalir
5.19,80.7,Genjer,🌿,Suka pH rendah & basah
6.33,22.4,Cabai Rawit,🌶️,Anti becek
6.55,88.6,Kangkung Air,🌿,Butuh genangan air
5.2,46.9,Talas,🍃,Kuat di tanah asam lembap
6.25,60.8,Oyong,🥒,Subur air tinggi
6.75,48.0,Sawi,🥬,Panen cepat
6.38,55.8,Oyong,🥒,Subur air tinggi
5.95,30.7,Terong Lalap,🍆,Tumbuh baik di kebun
6.64,88.9,Kangkung Air,🌿,Butuh genangan air
4.98,80.4,Genjer,🌿,Suka pH rendah & basah
6.33,54.8,Kacang Panjang,🥢,Tanah subur ideal
5.26,42.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.56,64.0,Kubis (Kol),🥬,Toleran tanah basa
7.45,25.5,Bawang Merah,🧅,Suka pH netral-basa
6.3,41.3,Sawi,🥬,Panen cepat
7.32,59.8,Kubis (Kol),🥬,Toleran tanah basa
6.74,57.2,Kacang Panjang,🥢,Tanah subur ideal
7.1,46.3,Kembang Kol,🥦,Anti akar gada
4.95,46.5,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.13,75.3,Genjer,🌿,Suka pH rendah & basah
6.13,61.7,Oyong,🥒,Subur air tinggi
5.16,41.9,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.11,23.4,Cabai Keriting,🌶️,Drainase baik
6.83,47.4,Bayam,🥬,Perlu air cukup
6.6,21.1,Cabai Rawit,🌶️,Anti becek
5.01,45.2,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.74,56.9,Kubis (Kol),🥬,Toleran tanah basa
6.44,21.4,Cabai Rawit,🌶️,Anti becek
6.26,40.7,Sawi,🥬,Panen cepat
6.11,79.6,Selada Air,🥗,Air mengalir
7.88,26.0,Bawang Daun,🌱,Tahan pH tinggi
4.2,90.5,Pakis Sayur,🌿,Lembap hutan
7.75,24.8,Bawang Daun,🌱,Tahan pH tinggi
7.4,55.2,Kubis (Kol),🥬,Toleran tanah basa
4.92,84.5,Genjer,🌿,Suka pH rendah & basah
6.53,20.5,Cabai Rawit,🌶️,Anti becek
7.18,45.1,Kembang Kol,🥦,Anti akar gada
4.79,80.0,Genjer,🌿,Suka pH rendah & basah
6.26,47.4,Sawi,🥬,Panen cepat
6.24,57.0,Oyong,🥒,Subur air tinggi
5.22,46.7,Talas,🍃,Kuat di tanah asam lembap
4.99,13.8,Singkong,🥔,Sangat kuat kering & asam
4.93,78.9,Genjer,🌿,Suka pH rendah & basah
6.35,24.5,Cabai Keriting,🌶️,Drainase baik
5.05,42.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.5,46.5,Ubi Cilembu,🍠,"Toleran asam, air sedang"
4.25,87.5,Pakis Sayur,🌿,Lembap hutan
6.13,20.2,Cabai Keriting,🌶️,Drainase baik
6.26,20.0,Cabai Keriting,🌶️,Drainase baik
6.46,56.5,Kacang Panjang,🥢,Tanah subur ideal
7.01,45.6,Kembang Kol,🥦,Anti akar gada
5.88,38.1,Terong Lalap,🍆,Tumbuh baik di kebun
7.56,60.3,Kubis (Kol),🥬,Toleran tanah basa
5.96,23.6,Cabai Keriting,🌶️,Drainase baik
7.01,51.5,Bayam,🥬,Perlu air cukup
6.09,77.0,Selada Air,🥗,Air mengalir
5.26,53.5,Talas,🍃,Kuat di tanah asam lembap
5.58,46.3,Talas,🍃,Kuat di tanah asam lembap
6.47,59.3,Kacang Panjang,🥢,Tanah subur ideal
5.2,79.5,Genjer,🌿,Suka pH rendah & basah
6.38,73.2,Selada Air,🥗,Air mengalir
5.73,54.1,Talas,🍃,Kuat di tanah asam lembap
6.42,58.4,Kacang Panjang,🥢,Tanah subur ideal
7.25,56.9,Kubis (Kol),🥬,Toleran tanah basa
6.91,26.3,Kemangi,🌿,Suka panas
5.43,54.3,Talas,🍃,Kuat di tanah asam lembap
6.25,71.5,Selada Air,🥗,Air mengalir
6.28,79.8,Selada Air,🥗,Air mengalir
6.44,55.1,Oyong,🥒,Subur air tinggi
6.51,20.8,Cabai Rawit,🌶️,Anti becek
6.95,53.3,Bayam,🥬,Perlu air cukup
6.21,73.0,Selada Air,🥗,Air mengalir
6.46,22.8,Cabai Keriting,🌶️,Drainase baik
7.41,25.2,Bawang Merah,🧅,Suka pH netral-basa
7.68,27.8,Bawang Daun,🌱,Tahan pH tinggi
6.25,87.9,Kangkung Air,🌿,Butuh genangan air
5.79,38.9,Terong Lalap,🍆,Tumbuh baik di kebun
4.97,11.8,Singkong,🥔,Sangat kuat kering & asam
6.42,23.9,Cabai Rawit,🌶️,Anti becek
6.24,86.3,Kangkung Air,🌿,Butuh genangan air
6.37,77.2,Selada Air,🥗,Air mengalir
7.45,45.7,Kembang Kol,🥦,Anti akar gada
5.52,45.7,Talas,🍃,Kuat di tanah asam lembap
5.06,19.6,Singkong,🥔,Sangat kuat kering & asam
5.56,48.1,Talas,🍃,Kuat di tanah asam lembap
6.66,25.3,Kemangi,🌿,Suka panas
4.79,17.9,Singkong,🥔,Sangat kuat kering & asam
5.65,35.1,Terong Lalap,🍆,Tumbuh baik di kebun
6.39,58.4,Kacang Panjang,🥢,Tanah subur ideal
5.27,54.6,Talas,🍃,Kuat di tanah asam lembap
6.57,87.5,Kangkung Air,🌿,Butuh genangan air
5.1,42.7,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.25,15.7,Singkong,🥔,Sangat kuat kering & asam
4.71,10.7,Singkong,🥔,Sangat kuat kering & asam
6.66,47.1,Bayam,🥬,Perlu air cukup
5.39,47.2,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.86,38.0,Terong Lalap,🍆,Tumbuh baik di kebun
7.51,29.4,Bawang Daun,🌱,Tahan pH tinggi
7.25,52.9,Kembang Kol,🥦,Anti akar gada
6.79,89.1,Kangkung Air,🌿,Butuh genangan air
6.95,54.4,Kembang Kol,🥦,Anti akar gada
6.73,44.4,Sawi,🥬,Panen cepat
7.58,28.3,Bawang Daun,🌱,Tahan pH tinggi
6.35,45.3,Sawi,🥬,Panen cepat
6.28,62.7,Oyong,🥒,Subur air tinggi
5.17,49.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.59,31.4,Bawang Merah,🧅,Suka pH netral-basa
4.71,82.0,Genjer,🌿,Suka pH rendah & basah
4.99,49.6,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.16,77.2,Genjer,🌿,Suka pH rendah & basah
5.04,16.9,Singkong,🥔,Sangat kuat kering & asam
6.76,23.3,Cabai Rawit,🌶️,Anti becek
5.27,11.0,Singkong,🥔,Sangat kuat kering & asam
6.74,32.6,Kemangi,🌿,Suka panas
6.45,17.9,Cabai Keriting,🌶️,Drainase baik
6.25,26.9,Cabai Rawit,🌶️,Anti becek
6.75,87.3,Kangkung Air,🌿,Butuh genangan air
4.33,92.1,Pakis Sayur,🌿,Lembap hutan
5.52,32.5,Terong Lalap,🍆,Tumbuh baik di kebun
6.45,54.6,Kacang Panjang,🥢,Tanah subur ideal
6.32,79.5,Selada Air,🥗,Air mengalir
5.84,34.8,Terong Lalap,🍆,Tumbuh baik di kebun
5.19,42.8,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.52,48.0,Sawi,🥬,Panen cepat
6.64,48.4,Bayam,🥬,Perlu air cukup
4.77,82.2,Genjer,🌿,Suka pH rendah & basah
7.69,62.0,Kubis (Kol),🥬,Toleran tanah basa
6.48,23.2,Cabai Rawit,🌶️,Anti becek
7.31,46.5,Kembang Kol,🥦,Anti akar gada
7.01,53.6,Bayam,🥬,Perlu air cukup
4.95,18.3,Singkong,🥔,Sangat kuat kering & asam
6.14,58.3,Oyong,🥒,Subur air tinggi
6.6,46.0,Bayam,🥬,Perlu air cukup
7.24,32.8,Bawang Merah,🧅,Suka pH netral-basa
6.2,55.6,Oyong,🥒,Subur air tinggi
6.43,23.5,Cabai Rawit,🌶️,Anti becek
4.34,91.8,Pakis Sayur,🌿,Lembap hutan
6.45,49.3,Sawi,🥬,Panen cepat
6.8,49.5,Bayam,🥬,Perlu air cukup
6.73,89.3,Kangkung Air,🌿,Butuh genangan air
6.14,59.9,Oyong,🥒,Subur air tinggi
6.19,61.9,Oyong,🥒,Subur air tinggi
5.36,52.1,Talas,🍃,Kuat di tanah asam lembap
6.99,54.7,Bayam,🥬,Perlu air cukup
6.26,48.0,Sawi,🥬,Panen cepat
6.35,46.1,Sawi,🥬,Panen cepat
6.02,79.9,Selada Air,🥗,Air mengalir
4.71,94.3,Pakis Sayur,🌿,Lembap hutan
6.12,62.4,Oyong,🥒,Subur air tinggi
7.48,28.7,Bawang Merah,🧅,Suka pH netral-basa
6.85,48.3,Bayam,🥬,Perlu air cukup
6.69,28.6,Cabai Rawit,🌶️,Anti becek
6.4,47.7,Sawi,🥬,Panen cepat
6.34,21.7,Cabai Rawit,🌶️,Anti becek
6.25,43.9,Sawi,🥬,Panen cepat
6.04,79.5,Selada Air,🥗,Air mengalir
6.78,82.0,Kangkung Air,🌿,Butuh genangan air
6.79,31.8,Kemangi,🌿,Suka panas
7.07,47.5,Bayam,🥬,Perlu air cukup
7.78,28.5,Bawang Daun,🌱,Tahan pH tinggi
6.34,28.1,Cabai Rawit,🌶️,Anti becek
7.57,64.7,Kubis (Kol),🥬,Toleran tanah basa
6.4,22.5,Cabai Keriting,🌶️,Drainase baik
7.52,63.3,Kubis (Kol),🥬,Toleran tanah basa
7.89,26.7,Bawang Daun,🌱,Tahan pH tinggi
6.5,58.0,Kacang Panjang,🥢,Tanah subur ideal
4.74,19.5,Singkong,🥔,Sangat kuat kering & asam
6.13,57.4,Oyong,🥒,Subur air tinggi
4.82,77.9,Genjer,🌿,Suka pH rendah & basah
7.1,54.3,Bayam,🥬,Perlu air cukup
7.26,64.5,Kubis (Kol),🥬,Toleran tanah basa
5.93,20.1,Cabai Keriting,🌶️,Drainase baik
6.78,44.7,Sawi,🥬,Panen cepat
